Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/03  02:00:00,0.721158995989824,7.25671798441013,0.000000000000000E+000,6.95261675037653,0.186159598130805,0.186159598130805,0.186159598130805,7.757865884929742E-002,1.607342069256627E-002,7.223881327716383E-002,0.353760492761593,0.279732864316510 
 01/03  03:00:00,0.686855397145136,7.57595945225846,0.000000000000000E+000,7.29170418267346,0.195238824326349,0.195238824326349,0.195238824326349,5.541331988790434E-002,1.148101600202945E-002,5.971530281942931E-002,0.349658921831025,0.260169431690730 
 01/03  04:00:00,0.674001846358157,7.55040349279691,0.000000000000000E+000,7.26080159807994,0.194411393024484,0.194411393024484,0.194411393024484,5.541331988790434E-002,1.148101600202945E-002,5.261106845099969E-002,0.344737036714339,0.265855095010047 
 01/03  05:00:00,0.671688134879925,7.61305521226316,0.000000000000000E+000,7.26707918902281,0.194579478487715,0.194579478487715,0.194579478487715,5.541331988790434E-002,1.148101600202945E-002,6.315175921409334E-002,0.331714549009782,0.323126262070831 
 01/03  06:00:00,0.723255692137571,7.87667593513465,0.000000000000000E+000,7.27774343539112,0.194865018722359,0.194865018722359,0.194865018722359,5.541331988790434E-002,1.148101600202945E-002,7.598154876300982E-002,0.370166776483870,0.573434002735194 
 01/03  07:00:00,0.925648439927812,8.50215158802988,0.000000000000000E+000,7.43195134666163,0.198994008399398,0.198994008399398,0.198994008399398,0.127450643996854,2.640633195888867E-002,0.129758134509170,0.427691308785101,1.04073923554504 
 01/03  08:00:00,1.20675411186695,8.67590855003679,0.000000000000000E+000,7.47484777572894,0.200142580553326,0.200142580553326,0.200142580553326,0.260442581460688,5.396077150394267E-002,0.207406094963531,0.454454059107065,1.16975624834083 
 01/03  09:00:00,1.14420622703655,7.69586632259663,0.000000000000000E+000,6.53315073220140,0.174928197324945,0.174928197324945,0.174928197324945,0.249359925737781,5.166457058390340E-002,0.268690864190452,0.384214656921069,1.13624942189379 
 01/03  10:00:00,0.991922938366863,7.24417032693624,0.000000000000000E+000,6.18799344838966,0.165686447987498,0.165686447987498,0.165686447987498,0.127450643996854,2.640633195888867E-002,0.330033759705594,0.326997742439629,1.03365202897331 
 01/03  11:00:00,1.01645886149537,8.19701876349065,0.000000000000000E+000,7.26211286505359,0.194446502817189,0.194446502817189,0.194446502817189,0.105285332551039,2.181393011881013E-002,0.344876895795482,0.334688187934444,0.911851301696019 
 01/03  12:00:00,1.00153815403901,6.92049082737070,0.000000000000000E+000,6.09438871818519,0.163180137114392,0.163180137114392,0.163180137114392,0.105285332551039,2.181393011881013E-002,0.361120014768658,0.334790727207709,0.803040449148909 
 01/03  13:00:00,0.969590775736017,6.19904230031248,0.000000000000000E+000,5.45821100275717,0.146146178233020,0.146146178233020,0.146146178233020,0.105285332551039,2.181393011881013E-002,0.351846255376571,0.329151067178176,0.718158118775038 
 01/03  14:00:00,0.935279867872565,5.71248889028868,0.000000000000000E+000,5.02144749809159,0.134451629054491,0.134451629054491,0.134451629054491,0.105285332551039,2.181393011881013E-002,0.317848037359318,0.340532926510507,0.667584187608559 
 01/03  15:00:00,0.937479460297813,5.72125505465427,0.000000000000000E+000,5.07899940495611,0.135992608550158,0.135992608550158,0.135992608550158,0.110826626018020,2.296203770497546E-002,0.292642405135342,0.359707770610917,0.617477608837970 
 01/03  16:00:00,1.00217555392978,5.76739773130205,0.000000000000000E+000,5.11755384968603,0.137024922022160,0.137024922022160,0.137024922022160,0.138533299719761,2.870253287892793E-002,0.302863858133087,0.379702928897442,0.623688498119649 
 01/03  17:00:00,1.23311754724624,5.71851063241518,0.000000000000000E+000,5.00347182251545,0.133970321848653,0.133970321848653,0.133970321848653,0.232735907758947,4.822026207769880E-002,0.353721026385214,0.449122016897326,0.684101575302345 
 01/03  18:00:00,1.65355373428625,5.54715838640060,0.000000000000000E+000,4.69639209027817,0.125748116943671,0.125748116943671,0.125748116943671,0.432223917138118,8.955192139527980E-002,0.445070293491817,0.545611473038965,0.813182500393519 
 01/03  19:00:00,1.92762823255049,5.29226632842854,0.000000000000000E+000,4.31934475587010,0.115652496435623,0.115652496435623,0.115652496435623,0.642794513451249,0.133179781632900,0.398284023104866,0.592369381647454,0.932116914049526 
 01/03  20:00:00,1.87699932288626,5.17880473676845,0.000000000000000E+000,4.18529087587755,0.112063140467464,0.112063140467464,0.112063140467464,0.681583842875899,0.141216491979183,0.315346148810717,0.611441686474602,0.951395429405951 
 01/03  21:00:00,1.74480065555788,5.10862449879914,0.000000000000000E+000,4.18425215758024,0.112035328294330,0.112035328294330,0.112035328294330,0.587381166047768,0.121698762780412,0.275875148663200,0.632462237493769,0.880805934142053 
